id,escolas_postos,bairro,endereco,lat,lon,logradouro,numero_end,tipo_escola,subprefeitura,quantidade
178,CENTRO INTEGRADO DE EDUCAÇÃO PÚBLICA HENFIL,CAJU,RUA CARLOS SEIDL S/No,"-22,880888","-43,225326",RUA CARLOS SEIDL,S/N,CIEP,CENTRO,20
634,ESCOLA MUNICIPAL ALICE DO AMARAL PEIXOTO,BENFICA,RUA EBANO 187,"-22,889574","-43,236202",RUA EBANO,187,EM,CENTRO,121
483,ESCOLA MUNICIPAL CELESTINO SILVA,CENTRO,RUA DO LAVRADIO 56,"-22,909293","-43,183579",RUA DO LAVRADIO,56,EM,CENTRO,220
476,ESCOLA MUNICIPAL FLORIANO PEIXOTO,SAO CRISTOVAO,PRACA ARGENTINA 20,"-22,897629","-43,227456",PRACA ARGENTINA,20,EM,CENTRO,190
132,ESCOLA MUNICIPAL PEREIRA PASSOS,RIO COMPRIDO,PRACA CONDESSA PAULO DE FRONTIN 45,"-22,924412","-43,208579",PRACA CONDESSA PAULO DE FRONTIN,45,EM,CENTRO,67
017,ESCOLA MUNICIPAL PRESIDENTE JOSE LINHARES,IPANEMA,RUA BARAO DA TORRE 90,"-22,983332","-43,199036",RUA BARAO DA TORRE,90,EM,ZONA SUL,48
055,ESCOLA MUNICIPAL SANTA CATARINA,SANTA TERESA,RUA EDUARDO SANTOS 38,"-22,915535","-43,191588",RUA EDUARDO SANTOS,38,EM,CENTRO,92
490,ESCOLA MUNICIPAL TIA CIATA,CENTRO,AVENIDA PRESIDENTE VARGAS S/No,"-22,907123","-43,195068",AVENIDA PRESIDENTE VARGAS,S/N,EM,CENTRO,578
600,ESCOLA MUNICIPAL URUGUAI,BENFICA,RUA ANA NERI 192,"-22,898488","-43,237756",RUA ANA NERI,192,EM,CENTRO,591
089,ESCOLA MUNICIPAL MARIO CLAUDIO,RIO COMPRIDO,RUA HADDOCK LOBO 148,"-22,917233","-43,211044",RUA HADDOCK LOBO,148,EM,CENTRO,473
387,CENTRO INTEGRADO DE EDUCAÇÃO PÚBLICA PRESIDENTE AGOSTINHO NETO,HUMAITA,RUA VISCONDE DE SILVA S/No,"-22,959167","-43,199723",RUA VISCONDE DE SILVA,S/N,CIEP,ZONA SUL,456
331,CENTRO INTEGRADO DE EDUCAÇÃO PÚBLICA TANCREDO NEVES,CATETE,RUA DO CATETE 77,"-22,922785","-43,176685",RUA DO CATETE,77,CIEP,ZONA SUL,223
450,ESCOLA MUNICIPAL ALBERTO BARTH,FLAMENGO,AVENIDA OSWALDO CRUZ 124,"-22,940711","-43,17647",AVENIDA OSWALDO CRUZ,124,EM,ZONA SUL,420
558,ESCOLA MUNICIPAL CÍCERO PENA,COPACABANA,AVENIDA ATLANTICA 1976,"-22,968647","-43,181139",AVENIDA ATLANTICA,1976,EM,ZONA SUL,573
540,ESCOLA MUNICIPAL HENRIQUE DODSWORTH,IPANEMA,AVENIDA EPITACIO PESSOA 474,"-22,981955","-43,213579",AVENIDA EPITACIO PESSOA,474,EM,ZONA SUL,516
309,ESCOLA MUNICIPAL MÉXICO,BOTAFOGO,RUA DA MATRIZ 67,"-22,952706","-43,191761",RUA DA MATRIZ,67,EM,ZONA SUL,319
268,ESCOLA MUNICIPAL MINAS GERAIS,URCA,AVENIDA PASTEUR 433,"-22,953822","-43,168885",AVENIDA PASTEUR,433,EM,ZONA SUL,308
523,ESCOLA MUNICIPAL PRESIDENTE DA COSTA E SILVA,BOTAFOGO,RUA ASSUNCAO 257,"-22,945558","-43,186591",RUA ASSUNCAO,257,EM,ZONA SUL,111
017,ESCOLA MUNICIPAL PRESIDENTE JOSE LINHARES,IPANEMA,RUA BARAO DA TORRE 90,"-22,983332","-43,199036",RUA BARAO DA TORRE,90,EM,ZONA SUL,48
035,ESCOLA MUNICIPAL SENADOR CORREA,LARANJEIRAS,RUA SEN. CORREA,"-22,933989","-43,181011",RUA SEN. CORREA,S/N,EM,ZONA SUL,525
011,CENTRO INTEGRADO DE EDUCAÇÃO PÚBLICA SAMUEL WEINER,TIJUCA,AVENIDA HEITOR BELTRAO S/No,"-22,921274","-43,227998",AVENIDA HEITOR BELTRAO,S/N,CIEP,GRANDE TIJUCA,445
226,ESCOLA MUNICIPAL AFRANIO PEIXOTO,ANDARAI,RUA FERREIRA PONTES 328,"-22,926855","-43,254913",RUA FERREIRA PONTES,328,EM,GRANDE TIJUCA,164
638,ESCOLA MUNICIPAL AZEVEDO SODRÉ,PRACA DA BANDEIRA,RUA BARAO DE UBA 331,"-22,915447","-43,211091",RUA BARAO DE UBA,331,EM,GRANDE TIJUCA,293
089,ESCOLA MUNICIPAL MARIO CLAUDIO,RIO COMPRIDO,RUA HADDOCK LOBO 148,"-22,917233","-43,211044",RUA HADDOCK LOBO,148,EM,CENTRO,473
126,ESCOLA MUNICIPAL DUQUE DE CAXIAS,GRAJAU,RUA MAL. JOFRE 74,"-22,918541","-43,26509",RUA MAL. JOFRE,74,EM,GRANDE TIJUCA,399
180,ESCOLA MUNICIPAL EQUADOR,VILA ISABEL,BOULEVARD 28 DE SETEMBRO 353,"-22,916152","-43,247048",BOULEVARD  DE SETEMBRO,28,EM,GRANDE TIJUCA,185
163,ESCOLA MUNICIPAL LAUDIMIA TROTTA,TIJUCA,RUA ANTONIO BASILIO 370,"-22,926842","-43,237889",RUA ANTONIO BASILIO,370,EM,GRANDE TIJUCA,576
361,ESCOLA MUNICIPAL PRUDENTE DE MORAES,TIJUCA,RUA ENES DE SOUSA 36,"-22,92906","-43,232871",RUA ENES DE SOUSA,36,EM,GRANDE TIJUCA,63
280,ESCOLA MUNICIPAL GENERAL HUMBERTO DE SOUZA MELLO,VILA ISABEL,RUA OITO DE DEZEMBRO 275,"-22,909823","-43,239393",RUA OITO DE DEZEMBRO,275,EM,GRANDE TIJUCA,491
